"MTurkCode","goal_order","goals","listNum","total_goal","goalType","affordance","approach_avoidance_R","attainability","attainment_maintenance_R","attractiveness_achievement","attractiveness_progress","basic_needs","clarity","commitment","commonality","conflict","connectedness","construal_level","control","difficulty","effort","end_state_specificity_R","external_importance","external_motivation","failure","frequency_R","ideal_motivation","identified_motivation","implementation_intention","importance","initial_time_R","instrumentality","intrinsic_motivation","introjected_motivation","meaningfulness","measurability","other_resources","ought_motivation","procrastination","regret","self_resources","social_desirability","specificity","temporal_duration","urgency","visibility"
"AHYTT3T8W9Y9Y",1,"My goal is to lose weight over the next three months. I feel that by adding an extra fifteen minutes of exercise everyday I will hopefully accomplish this. ",1,1,"recurrance",6,7,8,2,6,6,7,6,6,7,1,2,3,7,6,5,1,6,2,3,1,7,6,5,6,8,3,3,5,3,7,5,2,4,6,6,6,7,3,7,4
"A3KNLR8H286IHT",1,"I want to have my YouTube Channel hit 100 subscribers.",3,3,"short-term",7,7,7,7,3,4,4,6,6,1,1,7,6,7,6,4,3,1,1,2,2,7,7,7,7,8,7,6,3,7,7,1,1,4,4,7,4,7,2,6,1
"A3KNLR8H286IHT",2,"I want to drop my weight down from 165 to 155.",3,3,"recurrance",7,7,8,1,5,5,7,7,7,7,1,5,4,7,4,6,3,3,3,1,2,7,7,7,7,7,7,5,7,7,7,5,5,2,5,7,7,7,2,7,3
"A3KNLR8H286IHT",3,"I want to have at $1000 in my brokerage account.",3,3,"recurrance",2,7,3,1,7,7,5,7,5,4,1,2,6,7,6,5,3,7,5,3,1,5,7,5,7,8,7,1,7,7,7,1,4,4,4,7,4,7,3,7,1
"A3NRAEKWOKVUNN",1,"My goal is to earn at least $30 per week on Mturk.",2,2,"recurrance",4,6,8,4,3,4,3,6,3,2,2,3,1,5,3,3,3,1,2,3,1,4,4,4,4,6,3,2,1,3,7,1,1,2,3,6,4,6,3,3,2
"A3NRAEKWOKVUNN",2,"My goal is to have a net worth of $600K by 3/23/2022.",2,2,"long-term",3,7,4,7,4,4,3,4,3,2,1,4,1,4,7,3,3,3,3,1,2,4,5,4,3,1,4,4,1,3,7,4,1,2,4,4,5,7,4,3,1
"AHGDYNKOKJWFJ",1,"I would like to lose 20 lbs",3,2,"short-term",5,7,7,7,5,6,6,5,5,7,2,2,4,6,5,7,3,5,2,3,2,6,5,5,6,6,5,2,5,2,7,6,2,4,4,6,6,6,4,4,6
"AHGDYNKOKJWFJ",2,"I would like to get a better job",3,2,"short-term",6,7,9,7,4,4,4,6,6,5,2,2,5,5,5,4,1,3,2,3,2,5,5,6,6,7,4,2,3,5,4,5,2,2,5,7,6,5,3,5,4
"AHGDYNKOKJWFJ",3,"I would like to completely clean my house",3,2,"short-term",6,6,10,5,5,5,3,5,4,7,2,3,4,6,3,4,1,2,2,1,1,3,6,5,4,5,3,2,2,2,4,5,3,6,4,7,5,6,3,2,2
"A1R5W4RQZTROD8",1,"My goal is to train my new puppy to become a very well-trained dog over the next three months.",4,4,"long-term",6,7,9,7,6,6,1,7,7,3,2,1,5,3,5,7,1,2,1,1,1,2,7,7,7,4,2,4,1,3,6,6,1,2,5,7,6,5,3,5,6
"A1R5W4RQZTROD8",2,"My goal is to enjoy myself by going fishing as often as possible.",4,4,"recurrance",5,7,10,5,7,6,7,7,7,2,4,1,5,6,2,3,1,1,1,1,1,7,2,3,5,7,1,7,1,7,3,2,1,2,5,7,2,7,NA,3,2
"A1R5W4RQZTROD8",3,"My goal is to save $500 a month.",4,4,"recurrance",5,7,10,3,4,4,6,7,6,7,2,1,2,6,4,4,3,3,1,2,1,4,5,4,4,6,5,1,1,2,7,2,1,2,3,7,4,7,3,3,4
"A1R5W4RQZTROD8",4,"My goal is to either do cardio or lift weights every day.",4,4,"recurrance",6,7,9,1,6,5,7,7,7,5,2,2,4,7,4,7,3,4,1,3,1,6,5,7,6,7,4,2,1,3,7,3,1,3,4,7,5,6,3,3,2
"A1XUZFDVKP95VC",1,"getting my small business off the ground in the next 6 months",2,2,"long-term",4,4,8,6,7,6,3,5,6,2,2,5,6,3,5,5,1,5,2,3,2,6,6,4,6,6,7,2,4,4,5,6,1,2,7,7,6,6,3,6,5
"A1XUZFDVKP95VC",2,"advocating for my eye surgery to be covered from my insurance company",2,2,"short-term",7,NA,6,NA,7,7,7,5,7,1,3,4,4,2,6,4,NA,7,6,1,2,6,7,3,7,7,7,1,4,3,6,5,2,2,6,6,7,7,3,7,6
"A22SZHZTF72TRM",1,"My goal is to run a sub 25min 5k within 3 months.",4,4,"short-term",6,6,11,7,6,6,6,6,7,4,1,4,4,7,6,6,3,4,1,3,1,6,7,6,7,4,4,5,4,1,7,3,4,3,4,6,7,7,3,2,6
"A22SZHZTF72TRM",2,"My goal is to lose 5 lbs in the next 2 months.",4,4,"short-term",6,6,10,7,5,6,6,6,6,7,1,7,3,7,4,6,3,2,4,3,2,6,6,5,6,4,7,4,4,4,7,6,1,5,6,6,6,7,3,4,4
"A22SZHZTF72TRM",3,"My goal is to take time to appreciate small things every day.",4,4,"recurrance",7,7,9,1,6,6,7,4,7,7,1,2,7,7,3,2,3,4,7,1,1,7,7,4,7,6,4,6,2,7,1,7,1,4,4,7,7,7,1,4,2
"A22SZHZTF72TRM",4,"My goal is to keep my apartment clean on a weekly basis.",4,4,"recurrance",5,NA,7,1,6,6,7,5,7,7,2,3,5,6,6,5,1,6,6,3,1,7,7,3,7,6,4,2,6,4,6,7,6,5,6,7,7,2,2,5,7
"A1G187YBG0DVMQ",1,"My goalis to get blood pressure down to normal range in the following month",3,3,"short-term",5,6,8,1,6,5,5,6,7,5,2,3,5,5,6,6,2,6,4,1,1,7,6,4,6,2,4,5,2,6,6,5,3,2,6,7,6,2,3,6,7
"A1G187YBG0DVMQ",2,"My goal is to starting tackling credit card debt",3,3,"long-term",2,6,5,7,5,6,5,6,7,7,2,3,2,3,4,4,3,6,3,3,2,6,5,6,7,8,5,6,6,2,6,4,6,3,4,6,6,6,4,5,6
"A1G187YBG0DVMQ",3,"My goalis to make new friends",3,3,"recurrance",4,6,3,2,5,5,5,2,7,3,1,3,4,6,6,5,1,3,3,1,1,3,5,3,7,6,3,4,3,5,4,5,7,1,2,7,6,3,3,3,2
"A2BJTPZLXIGO8D",1,"I want to cultivate a garden and produce my own food through this Summer.",3,3,"recurrance",4,7,9,7,6,6,7,7,7,4,1,4,3,7,4,5,2,1,1,1,1,7,7,7,7,7,7,7,1,7,5,3,1,3,7,5,6,7,3,7,7
"A2BJTPZLXIGO8D",2,"I want to start my own business and make money working for myself.",3,3,"recurrance",4,7,7,7,4,4,5,5,6,4,3,4,7,7,6,7,1,1,1,1,1,5,7,5,7,8,7,5,1,5,4,4,1,4,7,5,5,3,4,4,4
"A2BJTPZLXIGO8D",3,"I want to begin working out again, mainly on my abs.",3,3,"recurrance",5,7,3,7,7,7,4,5,4,7,2,4,4,7,7,4,1,6,1,3,1,7,7,4,7,8,4,4,5,4,3,1,1,6,6,5,7,4,3,4,4
"A2DVV59R1CQU6T",1,"My goal is to become fluent in Spanish in the next year.",3,3,"long-term",7,7,6,5,6,5,5,7,7,5,2,5,5,6,6,5,1,7,6,1,2,7,7,6,7,8,7,4,7,6,5,5,6,3,7,6,6,7,4,4,7
"A2DVV59R1CQU6T",2,"My goal is to be intimate with my partner three times per week.",3,3,"recurrance",4,7,10,1,7,7,7,5,7,3,2,1,1,2,3,5,3,6,5,1,1,5,6,7,7,2,4,7,2,6,4,7,5,2,7,7,4,7,4,2,2
"A2DVV59R1CQU6T",3,"My goal is to exercise five times per week.",3,3,"recurrance",5,7,8,1,6,6,7,7,7,7,2,3,2,3,4,6,3,4,3,3,1,7,7,7,7,8,6,5,7,7,7,7,5,3,7,7,7,7,4,7,7
"A2ASTDMWBCFIP0",1,"Lose thirty pounds three months",2,2,"short-term",4,6,7,5,7,7,7,5,6,6,4,3,6,6,7,4,3,5,3,2,NA,6,6,5,7,6,6,4,5,5,5,5,4,4,6,6,6,6,3,6,6
