"Goals","factor","GF","KA","KP","LN","MDK","MP","TS","ZH"
"add at least $2000 to IRA account","Attainability",NA,NA,NA,2,NA,NA,2.66666666666667,NA
"add at least $2000 to IRA account","Consensus",NA,NA,NA,2.75,NA,NA,2.5,NA
"add at least $2000 to IRA account","External",NA,NA,NA,2.2,NA,NA,2.6,NA
"add at least $2000 to IRA account","Instrumentality",NA,NA,NA,4,NA,NA,5,NA
"add at least $2000 to IRA account","Measurability",NA,NA,NA,5,NA,NA,6,NA
"add at least $2000 to IRA account","Value",NA,NA,NA,2.85714285714286,NA,NA,4.57142857142857,NA
"advancing my career and increasing earnings","Attainability",NA,4,NA,NA,NA,0.75,NA,NA
"advancing my career and increasing earnings","Consensus",NA,3.25,NA,NA,NA,4,NA,NA
"advancing my career and increasing earnings","External",NA,4,NA,NA,NA,5.6,NA,NA
"advancing my career and increasing earnings","Instrumentality",NA,6.5,NA,NA,NA,4.5,NA,NA
"advancing my career and increasing earnings","Measurability",NA,3.5,NA,NA,NA,4,NA,NA
"advancing my career and increasing earnings","Value",NA,6,NA,NA,NA,6.14285714285714,NA,NA
"advocating for my eye surgery to be covered from my insurance company","Attainability",NA,-0.5,1.25,NA,4.5,NA,NA,NA
"advocating for my eye surgery to be covered from my insurance company","Consensus",NA,3,3.25,NA,2,NA,NA,NA
"advocating for my eye surgery to be covered from my insurance company","External",NA,4,3.4,NA,5.6,NA,NA,NA
"advocating for my eye surgery to be covered from my insurance company","Instrumentality",NA,2,3.5,NA,3,NA,NA,NA
"advocating for my eye surgery to be covered from my insurance company","Measurability",NA,5.5,3,NA,3.5,NA,NA,NA
"advocating for my eye surgery to be covered from my insurance company","Value",NA,4.85714285714286,3.28571428571429,NA,4.85714285714286,NA,NA,NA
"after rehab continue to strenghten my shoulders","Attainability",3.5,NA,NA,NA,3.5,NA,NA,NA
"after rehab continue to strenghten my shoulders","Consensus",2.25,NA,NA,NA,2.25,NA,NA,NA
"after rehab continue to strenghten my shoulders","External",3.2,NA,NA,NA,4.2,NA,NA,NA
"after rehab continue to strenghten my shoulders","Instrumentality",5,NA,NA,NA,6,NA,NA,NA
"after rehab continue to strenghten my shoulders","Measurability",4.5,NA,NA,NA,4,NA,NA,NA
"after rehab continue to strenghten my shoulders","Value",2.57142857142857,NA,NA,NA,6.28571428571429,NA,NA,NA
"Another goal is to be financially independent in 5 years.","Attainability",1.5,NA,NA,NA,3.75,NA,NA,NA
"Another goal is to be financially independent in 5 years.","Consensus",4,NA,NA,NA,4.25,NA,NA,NA
"Another goal is to be financially independent in 5 years.","External",6.4,NA,NA,NA,5.4,NA,NA,NA
"Another goal is to be financially independent in 5 years.","Instrumentality",5.5,NA,NA,NA,6.5,NA,NA,NA
"Another goal is to be financially independent in 5 years.","Measurability",4,NA,NA,NA,6,NA,NA,NA
"Another goal is to be financially independent in 5 years.","Value",5.28571428571429,NA,NA,NA,6.42857142857143,NA,NA,NA
"Another goal is to move from Washington to Texas within the next three months.","Attainability",NA,NA,NA,NA,NA,0.75,NA,NA
"Another goal is to move from Washington to Texas within the next three months.","Consensus",NA,NA,NA,NA,NA,1.5,NA,NA
"Another goal is to move from Washington to Texas within the next three months.","External",NA,NA,NA,NA,NA,5,NA,NA
"Another goal is to move from Washington to Texas within the next three months.","Instrumentality",NA,NA,NA,NA,NA,3.5,NA,NA
"Another goal is to move from Washington to Texas within the next three months.","Measurability",NA,NA,NA,NA,NA,6,NA,NA
"Another goal is to move from Washington to Texas within the next three months.","Value",NA,NA,NA,NA,NA,3.85714285714286,NA,NA
"Another goal of mine is to start working out more. I'll start by going out on walks and hopefully within a few months have a full weekly workout routine so that I can get into shape.","Attainability",NA,4.75,4.25,4,NA,NA,NA,NA
"Another goal of mine is to start working out more. I'll start by going out on walks and hopefully within a few months have a full weekly workout routine so that I can get into shape.","Consensus",NA,2,4,3,NA,NA,NA,NA
"Another goal of mine is to start working out more. I'll start by going out on walks and hopefully within a few months have a full weekly workout routine so that I can get into shape.","External",NA,3.2,4,2.8,NA,NA,NA,NA
"Another goal of mine is to start working out more. I'll start by going out on walks and hopefully within a few months have a full weekly workout routine so that I can get into shape.","Instrumentality",NA,4.5,5.5,3.5,NA,NA,NA,NA
"Another goal of mine is to start working out more. I'll start by going out on walks and hopefully within a few months have a full weekly workout routine so that I can get into shape.","Measurability",NA,5.5,5.5,5,NA,NA,NA,NA
"Another goal of mine is to start working out more. I'll start by going out on walks and hopefully within a few months have a full weekly workout routine so that I can get into shape.","Value",NA,4.57142857142857,5.28571428571429,4.42857142857143,NA,NA,NA,NA
"Average $7 a day on Mturk, ongoing","Attainability",NA,NA,NA,NA,NA,3.25,4.5,NA
"Average $7 a day on Mturk, ongoing","Consensus",NA,NA,NA,NA,NA,2,1.25,NA
"Average $7 a day on Mturk, ongoing","External",NA,NA,NA,NA,NA,3.4,3.8,NA
"Average $7 a day on Mturk, ongoing","Instrumentality",NA,NA,NA,NA,NA,4.5,4,NA
"Average $7 a day on Mturk, ongoing","Measurability",NA,NA,NA,NA,NA,5.5,6,NA
"Average $7 a day on Mturk, ongoing","Value",NA,NA,NA,NA,NA,3,2.14285714285714,NA
"Be more active.","Attainability",NA,NA,NA,NA,NA,3,4.25,NA
"Be more active.","Consensus",NA,NA,NA,NA,NA,3,2.25,NA
"Be more active.","External",NA,NA,NA,NA,NA,5.6,4.4,NA
"Be more active.","Instrumentality",NA,NA,NA,NA,NA,6,5,NA
"Be more active.","Measurability",NA,NA,NA,NA,NA,2.5,2,NA
"Be more active.","Value",NA,NA,NA,NA,NA,5.42857142857143,5.57142857142857,NA
"Become proficient at conversational Italian.","Attainability",NA,NA,NA,NA,2.75,3,NA,NA
"Become proficient at conversational Italian.","Consensus",NA,NA,NA,NA,0.5,1.75,NA,NA
"Become proficient at conversational Italian.","External",NA,NA,NA,NA,1.2,4.4,NA,NA
"Become proficient at conversational Italian.","Instrumentality",NA,NA,NA,NA,4,4.5,NA,NA
"Become proficient at conversational Italian.","Measurability",NA,NA,NA,NA,3,4,NA,NA
"Become proficient at conversational Italian.","Value",NA,NA,NA,NA,5,4.14285714285714,NA,NA
"Boost networking abilities","Attainability",4.25,4.5,NA,NA,NA,NA,NA,NA
"Boost networking abilities","Consensus",1.75,2.5,NA,NA,NA,NA,NA,NA
"Boost networking abilities","External",3.2,4,NA,NA,NA,NA,NA,NA
