"goal_list_1","goal_list_2","goal_list_3","goal_list_4","goal_list_5","MTurkCode"
"My goal is to lose weight over the next three months. I feel that by adding an extra fifteen minutes of exercise everyday I will hopefully accomplish this. ","","","","","AHYTT3T8W9Y9Y"
"I want to have my YouTube Channel hit 100 subscribers.","I want to drop my weight down from 165 to 155.","I want to have at $1000 in my brokerage account.","","","A3KNLR8H286IHT"
"My goal is to earn at least $30 per week on Mturk.","My goal is to have a net worth of $600K by 3/23/2022.","","","","A3NRAEKWOKVUNN"
"I would like to lose 20 lbs","I would like to get a better job","I would like to completely clean my house","","","AHGDYNKOKJWFJ"
"My goal is to train my new puppy to become a very well-trained dog over the next three months.","My goal is to enjoy myself by going fishing as often as possible.","My goal is to save $500 a month.","My goal is to either do cardio or lift weights every day.","","A1R5W4RQZTROD8"
"getting my small business off the ground in the next 6 months","advocating for my eye surgery to be covered from my insurance company","","","","A1XUZFDVKP95VC"
"My goal is to run a sub 25min 5k within 3 months.","My goal is to lose 5 lbs in the next 2 months.","My goal is to take time to appreciate small things every day.","My goal is to keep my apartment clean on a weekly basis.","","A22SZHZTF72TRM"
"My goalis to get blood pressure down to normal range in the following month","My goal is to starting tackling credit card debt","My goalis to make new friends","","","A1G187YBG0DVMQ"
"I want to cultivate a garden and produce my own food through this Summer.","I want to start my own business and make money working for myself.","I want to begin working out again, mainly on my abs.","","","A2BJTPZLXIGO8D"
"My goal is to become fluent in Spanish in the next year.","My goal is to be intimate with my partner three times per week.","My goal is to exercise five times per week.","","","A2DVV59R1CQU6T"
"Lose thirty pounds three months","Go back to college this summer to work on degree in three months","","","","A2ASTDMWBCFIP0"
"I want to find a job that is meaningful to me in the next year.","I would like to lose 5 pounds of weight in the next 3 months.","I want to be highly active three times a week-- such as going on a hike, or spending 45 minutes on the ellipitcal.","","","A21BXRUD15TQL8"
"To earn enough from m side hustle and business for savings","To be healthier and exercise in a regular basis","To secure a good paying job and be able to help my husband meet out financial goal.","","","AJ9O2ZA0E8UDZ"
"My goal is to move my diet towards a more healthy and notorious diet in the next few months. I eat too much junk food and need to begin by phasing that out and switching to more nutritious meals.","Another goal of mine is to start working out more. I'll start by going out on walks and hopefully within a few months have a full weekly workout routine so that I can get into shape.","","","","A3LL096CAY5WHB"
"I want to complete sets of various exercises five days a week.","I want to cook at home, instead of grabbing takeout, Monday through Friday of every week.","","","","A2LT6KC1X51FVW"
"My goal is that I want to keep eating oatmeal every single day","My goal is that I want to earn at least 50 dollars a day on MTurk","My goal is that I want to walk at least 30 minutes straight every day","","","AWVLT2L5AP873"
"My goal is to pay down debt.","My goal is to exercise at least three times a week.","My goal is to save more for retirement and increase savings.","","","A3U4SSUB9ZZ9T0"
"Schedule and take a vacation","pay off credit cards","work toward promotion","","","A2R9OK4M877ZCC"
"Lose 50 pounds within the next 8 months","Pay off all debts, except car and house, within 8 months","","","","A1O9PAK6THJ9Y7"
"My goal is to lose 20 pounds in 3 months","My goal is to exercise 3 times per week for 3 months","My goal is to save $2000 in 3 months","My goal is to spend more quality time with my children.","","A2AT6TSPPCR106"
"My goal is to lose 5 pounds in three months.","My goal is to shop less and only buy things I truly need every month.","My goal is to quit smoking by the end of the year.","","","A28J7H4TH29DC3"
"My goal is to attend Wrestlemania on April 10th and 11th.","My goal is to get the COVID vaccine within the next 3 months.","My goal is meet all deadlines for work in the upcoming quarter-end.","My goal is to average 4,000 steps a day which is up from my current average of 3,000.","My goal is to do arm curls at least every 3 days to build up some muscle.","A1VRG5HKZC0H0C"
"My goal is to save at least $200 each month","My goal is to get my lower back surgery finished in the next 3 months","My goal is to sell my house in the next year","My goal is to lose 10 pounds in the next 6 months","My goal is to get closer to my two grown children in the next year","A351LMMMFYPM7U"
"my goal is to save 200 dollars monthly.","my goal is to eat more vegetable per serving everyday.","","","","A2NHFSO7GMM8QR"
"My goal is to quit smoking for good in the next 2 months","My goal is to lose at least 30 lbs. in the next 6 months","My goal is to move to Texas within the next 3 months","","","A2VNSNAN1LZBAM"
"My goal is to lose 10 pounds in 2 months","My goal is to walk 10,000 steps everyday.","My goal is to quit smoking in the next 3 months.","","","A3KIZLHCD945UK"
